subject,seed,solution_id,mojofm_vs_reference,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,max_cluster_size,feasible,is_injected_seed,acceptable_strict,acceptable_lenient
daytrader,16,seed16_solution011,26.086956521739136,0.0833260287169292,0.2011070110701107,2.289699248120301,0.976950450264122,10,1,20,True,False,False,False
daytrader,16,seed16_solution012,26.086956521739136,0.0905079204735773,0.202490774907749,2.4511278195488724,1.2034127335171303,13,3,20,True,False,False,False
daytrader,16,seed16_solution013,21.73913043478261,0.0799938471017552,0.2112546125461254,4.964285714285714,1.215334559636824,14,3,20,True,False,False,False
daytrader,16,seed16_solution014,21.73913043478261,0.0855859210114242,0.2181734317343173,2.7751301330248697,1.19181975074368,13,2,20,True,False,False,False
daytrader,16,seed16_solution015,21.73913043478261,0.0569740931496031,0.2264760147601476,1.4131578947368422,0.9435848867962254,10,0,20,True,False,False,False
daytrader,16,seed16_solution016,21.73913043478261,0.0801622433313817,0.2324723247232472,5.012531328320803,1.1521799728884548,14,3,19,True,False,False,False
daytrader,16,seed16_solution017,23.913043478260864,0.0740714697852698,0.2361623616236162,2.581514392040708,1.0044401248457484,11,1,19,True,False,False,False
daytrader,16,seed16_solution018,15.217391304347828,0.0442843787870536,0.2380073800738007,1.1571150097465888,0.900140410707665,9,0,20,True,False,False,False
daytrader,16,seed16_solution019,21.73913043478261,0.0590542067782302,0.2490774907749077,1.6852046783625731,0.9167947632646296,10,1,19,True,False,False,False
daytrader,16,seed16_solution020,19.565217391304344,0.0544551706471862,0.253690036900369,1.770597790773229,0.8488469342793955,9,0,19,True,False,False,False
daytrader,16,seed16_solution021,21.73913043478261,0.0651180667134163,0.2596863468634686,1.7132739255546272,0.8297597519734348,9,1,19,True,False,False,False
daytrader,16,seed16_solution022,19.565217391304344,0.0640787545444643,0.261070110701107,4.300194931773879,1.0353316919485998,12,1,19,True,False,False,False
daytrader,16,seed16_solution023,21.73913043478261,0.0616089786359119,0.2670664206642066,1.8517792302106024,0.7738149680909387,9,0,18,True,False,False,False
daytrader,16,seed16_solution024,17.391304347826086,0.0602515965196554,0.2693726937269373,2.0406681190994913,0.7654891613245582,9,0,18,True,False,False,False
daytrader,16,seed16_solution025,19.565217391304344,0.0944041177611961,0.2772140221402214,3.728395061728395,0.7902034562781858,9,0,18,True,False,False,False
daytrader,16,seed16_solution026,19.565217391304344,0.0796068442695497,0.2799815498154981,4.954057017543859,0.8895981308774554,8,0,20,True,False,False,False
daytrader,16,seed16_solution027,21.73913043478261,0.0950490870222355,0.2864391143911439,2.5846949891067537,0.7179734939788848,9,0,17,True,False,False,False
daytrader,16,seed16_solution028,15.217391304347828,0.0836988832872647,0.2993542435424354,2.1624727668845316,0.6953028593467274,9,0,17,True,False,False,False
daytrader,16,seed16_solution029,28.26086956521739,0.0834375127653491,0.3044280442804428,4.2116339869281045,0.8648427650087426,10,2,17,True,False,False,False
daytrader,16,seed16_solution030,28.26086956521739,0.1306090943750766,0.3058118081180812,6.351515151515152,0.7856853891946043,11,0,16,True,False,False,False
daytrader,16,seed16_solution031,23.913043478260864,0.0813271878106235,0.3085793357933579,2.0375661375661376,0.6622614631994054,9,0,16,True,False,False,False
daytrader,16,seed16_solution032,15.217391304347828,0.0824416027831865,0.3288745387453874,2.199067599067599,0.6174742706397575,8,1,14,True,False,False,False
daytrader,16,seed16_solution033,21.73913043478261,0.0702021861085769,0.3404059040590406,2.4123543123543123,0.4934602577593215,7,0,14,True,False,False,False
daytrader,16,seed16_solution034,23.913043478260864,0.0613196307239826,0.3482472324723247,3.2537301587301584,0.6960704432338384,10,1,14,True,False,False,False
daytrader,16,seed16_solution035,26.086956521739136,0.0817485507073704,0.3560885608856088,2.681611721611722,0.6373338020397937,10,1,14,True,False,False,False
daytrader,16,seed16_solution036,26.086956521739136,0.0989437950191312,0.3680811808118081,3.124305555555555,0.554280408361071,8,0,15,True,False,False,False
daytrader,16,seed16_solution037,21.73913043478261,0.0896428553192359,0.3782287822878228,3.7693121693121694,0.6525138288977578,9,1,15,True,False,False,False
daytrader,16,seed16_solution038,26.086956521739136,0.0656395312223418,0.4068265682656826,3.7303030303030305,0.5600310218738049,10,1,12,True,False,False,False
daytrader,16,seed16_solution039,28.26086956521739,0.0875579546847129,0.4105166051660516,3.0125060125060124,0.4629375149579356,9,0,12,True,False,False,False
daytrader,16,seed16_solution040,30.434782608695656,0.1180199071363408,0.4183579335793358,5.9808777642110975,0.6171859333507972,9,0,13,True,False,False,False
daytrader,16,seed16_solution041,30.434782608695656,0.1032286971854959,0.4294280442804428,4.816515151515151,0.4776976943838552,10,0,11,True,False,False,False
